text,Emotion_Label
موجب سوداني سالب تعال خاص #سالب_ينبع,['No emotions']
سالب تحت ٢٠ من الشرايع نط سناب fyys20 #سالب_مكه #موجب_مكه #مبادل_مكه,['No emotions']
@DL_QTR شفت حمار ماد بوزه .. اتعالج ؟؟,['Disgust']
@YZaatreh يشبه آليات التسويق المقيتة لدى طغاة منطقتنا وأبواقهم,['Disgust']
ما في عاقل بلعراق يمنع مسلسل ابو لؤلؤه ويبطل هلبلد ينجر للفتنه! وين المراجع ورجال الدبن؟ النفخ ببوق الفتنه اشد من الكفر,['Disgust']
@ir________e وين نسبت روحي لآسيا؟ هاو كلامي تحرف كفاش ماتحرفوش التاريخ 😂 أسمع ياخو يليق تنوض الصباح بكري باش تغيبهالي انا وليد الدزاير ياخو القلعة لقديمة، مكاش إمتداد كاين العروبة والإسلام متجذرين وضاربين في عمق وتاعريخ هذا الوطن,['Trust']
@jrooh_alrooh @hash_sudan بعرف لي كيزان معرفة شخصية وبعيني شفت ممتلاكتهم برا وشفتهم هم زاتهم وعيالهم متمتعين بملايين الدولارات قروش البلد كلها كانت في يد اشخاص اتحكمو في البلد بقوة السلاح وقسموها بينهم باسم الدين الواحد عندو 17 عمارة ومولين و7 فلل في تركيا وماليزيا وشركتين في الامارات ويجي يقول ليك ديننا,['Disgust']
@15abmp ههههههههه شعب ملعون اردت له الحياه اردلك الموت ازيدي ثلاثة وثلاثون سنه يسرق وقتل ولا جرو تكلم,['Disgust']
@gorgeous4ew كميه الغباء الي في التعليقات هو عالم زلازل طبيعي يقدر يعرف اذا بيكون في زلازل او لا وهو توقع وبنفسه قال انا لست نبي طبيعي مثل حقين الطقس فاهو يتوقع حدوث زلازل بسبب أشارات تتدل على ذلك والله اعلم ليش تكبرون المواضيع,['Disgust']
@twxx70 بليهي بارك تقصد شكل الغرزه باقي مأثره فيك ياتوكس👇🏽🫴🏽,['Disgust']
@CBCEgypt صح هيديها لإسرائيل و هي تهتم بيها,['No emotions']
@SiGNUPjm لا خليك بالغرفه ل وحدك,['No emotions']
@Pencil192 ومن اعطى الذريعة لهم الم تكن القيادة غير الحكيمة من ورطت العراق في حرب عالمية كن منصفا اخي ودعنا نذكر ااتاريخ بكل جوانبه وليس من جانب واحد,['No emotions']
@MoaElshamy انت إزاي كده ؟؟؟؟ 🙄🙄 لا بجد انت إزاي كده؟؟ معدوم النظر.. معدوم الضمير.. مدلس و هجاص.. و بتاع مصلحتك و جيبك فقط ؟؟ يعني راجل على راسه ألف بطحة و بطحة.. و القانون هو اللي قال كلمته.. و انت شايف ياعيني ان ده ظلم للزمالك.. انت كده بتأكد إنك مجرد دلدول و هزار زي باقي الشلة,['Disgust']
#معصيتي_رحتي فحل جاد في الرياض بكل سرية https://t.co/P7lzOfYkny,['No emotions']
RT @hesaaomkhalifa: الى خفافيش الظلام اللى حرمونا من فرح والبهجة بحجة العادات والتقاليد هذي الكويت كانت عروس الخليج,"['Sadness', 'Disgust']"
"لما أمك تعملك ""وودي آلن"" في الغيط https://t.co/GVJwD5gDX8",['No emotions']
RT @_227Q: لا تتسابق مع الحمير فإن هزموك ستصبح الحمار الخاسر ، وأن هزمتهم ستصبح أفضل الحمير . https://t.co/tMKjNiOMsA,['No emotions']
انا #سالب_الرياض ابي موجب نحيف وكاش يجي خاص,['No emotions']
@QueenManal1984 @sssaarrooo يا ماما خلينا الثقافه لك، أما يمنعونه فهذا عشم ابليس في الجنه وش ذا التحرر اللي غسل عقولكم؟!! الحمدلله انها ما هي بيدكم ولا كان ألغيتوا الدين كله,['Disgust']
@shatat_20 @zainabera نعوضكم بأيش يعني😂😂 قم انقلع بس يالعراكي,['Disgust']
مسترمندوب @ 🥞 SAG 🥞 مرسول🍫🍭🍬 جاهز🍫🍭🍫 هنقرستيشن🍡🍬 https://t.co/N4vWRbKhv0,['No emotions']
@noga57544 كلهم والله جواهم مرتضي بس من غير حديدة الجنايني وآل العدل كلهم كلهم من نفس الزريبة,['Disgust']
قلت هذا الكلام بتغريدة قبل يومين واندعست بكافة أشكال وألوان الدعس من كل فئات المجتمع رغم ان فكرتي نفس الفكرة لكن أسلوبي كان سيء شوية 😢 هااا ذلحين خذوها من الدكتورة زينب بصيغة مرتّبة وفخمة ولابسه كرفتّة 👔 https://t.co/TjxrYTcS5n,"['Sadness', 'Love']"
RT @AlkadiNorah: كلب موجود لحاله في حديقة الياسمين الرياض. عليه طوق سماوي بدون معلومات @RiyadhCats https://t.co/4ryNVSHCRU,['No emotions']
الخرزة 🧿 تلبسيها لما يكون عندك أسهم ف شركة Ferrari مش لما تتخطبي ل عاطف سردينة .,['Disgust']
@3z__aa @v_uc6 جايه في الوقت بدل الضايع تبغى تقلب الجمهور عليه تبببطي,['Disgust']
https://t.co/fa9KCzQsiO الإباحية العربية - زوجة المؤخرة الكبيرة تشتكي بكل سرور -الجزء الثاني- #sَُex #سـكـــسًْ #seَُxy #سِِكُسْ_كتَابي #dun,['No emotions']
@ABDULMAJEEDFUL @HayatAb04053796 انا من رأي انه نعرف وين الفندق اللي يشتغل فيه اللبناني ونروح نمردغه زييين ويكون عبرة لكل سافل ومنحط يتحرش ببناتنا ومن بعد المردغه سيعلم من هم على شاكلته فيتأهل كل منحط,['Disgust']
RT @_waheed20: يالطيب شوف ابو غريب كان يطقطق عليك @Cristiano https://t.co/59O1wUk6dI,['No emotions']
ياصمونة نو مقاـطعُ تشتغل كتير مقاطع فخمه كاملة؟ ادخل بايوو ‌ #بنات. بنات صغار وراعين ورعااان ورعاان ولاد اولاد افلام صغار اطفالُ سكس ميغا دياثة ‌ #ورع. تعال شووووف الباااايووووووو https://t.co/KplU1gkH69,['No emotions']
RT @yousef_alwnah: سالاموون آلايكوووم الللااهوووما سلي ألاااع كيسراااع وعااالي كسرااااع تف على ابوكم واحد يقول للثاني,['Disgust']
تتباع شعبي لحد ما تصطاد زبونها وترقي نفسها وتبقي نمرة واحد الفراخ البرازيلي 😂😂😂 https://t.co/5bNaJVgezR,['No emotions']
ممحونه فاضيه الحين جاده وصادقه مطلقه ممحونه مواعيد سهرات,['No emotions']
@iAkemi2 أفضل بنت وما تهمني الآراء الغبية,"['Disgust', 'Trust']"
مواعيد سهرات مطلقه سعوديه ممحونه مولعه..,['No emotions']
@funnyscienc خسف الله به وبداره الأرض .,['No emotions']
@Ottaibi___511__ @I99RJ @Asmaa_otb والله مايعقب ويخسى غيرك العتبان جيران لنا وهذا لبسهم برقع وكحل فكل مكان ، حطي جزمه في حلقك واسكتي اشرفلك,"['Disgust', 'Trust']"
وصلنا مرحلة يرثى لها راضين بتجديد ولد الحرام هذا الله لايوفقك ياعشبي https://t.co/yQm2QwLQkt,"['Sadness', 'Disgust']"
#موجب_ابوعريش السالب الجاد ولا مبادل الحنان مززز ينط خااااث ولا سناب انا موجب ٢٢ زاير نحوف ابيض وسيم مزززز حقي فخم وكبير وجوي فخم (عندي مكان)مستاجر في فندق في جيزان🤤🥺🔥🔥 سناب:zez5539,['No emotions']
RT @girlxinharapx18: اضغط لمشاهدة الفيديو↙️↘️ 🔞 #seَُx 🔞 #seَُx,['No emotions']
@Hiba_Tag كدي سؤال قبل ما نتناقش الحمار دا هو شنو ؟,['No emotions']
@gorgeous4ew والله عالم غريبه الله لايبلانا,['Disgust']
@isatod_ يبن الكلب جب زيه وخلنا نسكتهم https://t.co/M204tuMYt4,['Disgust']
@thaer350 هذا العتاك يعتبر احد زعامات الدولة.....هههههه...هزلت,['Disgust']
@bixwd لا كلت جهنم جلودهم بيعرفون ان الجمال تعرف وين تحطه,"['Disgust', 'Anticipation']"
@bufaisal4 @Aldowayesh اسألك عن دوري ابطال اسيا هل حققتها انا حققتها اربع مرات انت كم صفر اذا لاتزعجني كاس الكؤس محققها مرتين لاتجادل انت منت بحولي انا اعتبر النصر ليس منافس ابدا,['Disgust']
@saberalgayed البغيلي دة الظاهر متزوج من سيدة جزايرية لانة مبيمدحش غير في الجزاير لكي الله يا مصر,['Disgust']
@adelalmulhim والله بعض الاعلاميين عار على النصر,['Disgust']
@xp10px معروف حلاب البقرة الزرقاء .. 😂😂😂 مافي غير - بيريرا,['Disgust']
RT @wwi2018: موجب سوداني خميس مشيط ممكن سالب,['No emotions']
موقع والا العبري : #أولي: قتيلان في عملية إطلاق النار في حوارة #قمة_العار,['No emotions']
RT @nudeHDsex_x18x: فتاة كبيرة الثدي تئن بسعادة في الحمام ⬆️ فتاة حلومزيد من الرابط هنا⬆️⬆️,['No emotions']
للشبل الصغير، الذي عض ذيل والده بقوة وحاول الهرب، إلا أن الوالد تمكن من الإمساك به وعاقبه، فقامت الأنثى بتعنيفه بالصراخ في وجهه، فيما بدا ملك الغابة خائفا منها بشدة https://t.co/lmsHorepm9,['No emotions']
RT @ArabAdultDesi9x: تصوير زوجين عربيين يمارسان الحب في الفندق. -الجزء التالي- #sَُex #seَُxy #سَُــكَُـسَُ #سكُُس_عرُُُبي,['No emotions']
@ERYANIM هههههه وين يقود والله كلام فارق لا اساس له من الصحه الرجال رايح جاي يتمشى بين الدول لا تسدقو انه رأيس من صدق ترآ جابوه التحالف من الحطيط لا يهش ولا ينش,['Disgust']
@Bahjat_100 وان شاء الله تبقون لا تفوزون باي بطولة,"['Disgust', 'Anticipation']"
@maram2030929 @tayloorv @gorgeous4ew لا فعلًا هي صغيره تكذب على مين انت,['No emotions']
@khalidjassem74 بيشقهم شق الهلال مافيه نادي قطري يضاهي الهلال,"['Disgust', 'Trust']"
@Ralharthi20 حسبي الله عليه .. الله ينتقم منه ومن كل شخص سعى بظلم الاتحاد عاجلاً غير آجل .,"['Anger', 'Disgust']"
@neven870 يخرب بيت جمال ام عيونك,['Love']
الله أكبر.... الحمد لله في ستين داهيه وخرارة ياملعون المختل برا النادي,['Disgust']
مبروك انتصار الحق اندحار السفاله والانحطاط https://t.co/a1a6vIoBwt,['Joy']
مرات يكون رأيك صح بس وجهك خرا عشان كذا اختلف معك.,['Disgust']
@MalcomX56797032 عنصريه!!!! اولا المصريين ليسو بالاعداد دي في الخليج ثانيا المصريين بيدفعوا مقابل اقامتهم في الخليج ثالثا الخليج اللي طالبهم بعقود ولا يزاحمون اصحاب البلد رابعا لو عقده انتهي بيرجع بهدوء والقائمة تطول للمقارنه,['Trust']
@swiftlykaif @JOURYo0 بتطللع الاهتمام من تحت لتحت https://t.co/nnckl5vovo,['No emotions']
@alsharqiyatv بلد الدمقارطيه طاحظ هيج حريه حيوانيه وحشيه,['Disgust']
@vivalalgerie7 أصبح الرد الحقيقي مخالف ؟ البرلمان أكبر عصابة,['Disgust']
@rrec__ @AL__Muradi @xoxo_15_X @t_donkeys ما شرحتي ايضا شيء فقط تتهجمي يا جاهلة وين الشرح؟ فقط النفقة يا طفلة؟ وبعدين مين الهطف هههههههههههههههههههههههههههههه قالت هطف هههههههههههههههههههههههههههههه,['Disgust']
@jejeeb11_a @Siiros2 سدي حلقك انتي اشغلتينا يالقوطية 🤫,['Disgust']
@alrahbi5 طيب ايش المشكلة اذا معه مصالح مع الحوثي الكل يدور على مصالحه,['No emotions']
RT @7ronalddo: فريقة صاير مسخرة لاندية اوروبا ومحطة عبور لهم هو كل مرة بالمنشن : https://t.co/PR7kxPaiWl,['Disgust']
@M_8884 هذه ليست لجنة الانضباط إنما هي الجنة المرتعشة تدار مثل السبحه لأجل عين تكرم مدينه,['Disgust']
RT @Gorgeous_2405: اڄ ته صفا فل غيرت ۾ آن ماڻڪ #SindhRejectsDigitalCensus,['No emotions']
@nolonger2d والله منهجكم ذا يعتبر زي اختبار الفقه في منهجنا مره سخيف تكفى قول انها منهج تحضيري,['Disgust']
@lovingonetim @Mowatin_3arabi @adel_alramadhan @TheUKAr هم من قتله ولكن يكذبون الكذبة ويصدقونها,['Disgust']
@lykiiri @z_iad19 @monana6612 رينيرا تسقط توريث النغول (للعرش الحديدي)+ ايغون من وين يستمد شرعيته ؟,['No emotions']
#حرق_ون_بيس صورة فإن ارت ان شانكس ومن معه هزمو كيد واتابعه وامسكو بهم . طبعا احلام يقظة https://t.co/MQsArDcYhw,['No emotions']
وليش اسأله؟ بدال مااكسر راسه ياحبكم لتبرير اغلاطكم ونسيانكم ان اطلاق البصر بكبره غلط ههههههههههههههه https://t.co/0ZAkvb1rR9,['Disgust']
"تقول لي: "" اذهب الى الجحيم يا سليل القرود الا تعلم من هو جدي ذلك الذي كان يفتك بأجدادك ويجعلهم يختبؤون مذعورين في كهفهم. انا حفيدة الاسد لا يذلني حفيد القرد. لا اريد طعامك ولا معرفتك🤨 سأنزوي على هذه السجادة الدافئة الى ان تعقل وتأتي لمصالحتي""","['Disgust', 'Trust']"
اجتمعوا على إنهاء المقاومة في الضفة، فجاء الرد سريعاً من حوارة، ليثبت أبطال فلسطين للجميع أن المقاومة مستمرة ولن تتوقف مهما كدتم لها. #قمة_العار #عملية_حوارة https://t.co/dRpF8gx0CH,"['Joy', 'Love', 'Trust']"
@Abby419e @Turki_alalshikh وش مسوْيه في نفسها البنيّه,['No emotions']
RT @Janelle29262389: ؤيبلافلقبيؤ ممحونه ودها ترتاح تع سناب - الجزء الثاني - #sَُex #سَُــكَُـسَُ #سكُُس_عرُُُبي,['No emotions']
@lovnef نعم وشوفي سناب لا اقمعك,['Disgust']
@GoldenDose ليتها ساكته بس !! وش تبينهم يدعمونك فيه في التفصخ وقلة الحياء ودعم المثليه والرضى بالخمور ومخالفة الشرع اتركي اهلك على جنب وكلامهم انت كلك على بعضك مافيك من هدي النبي شي !!!!!!,['Disgust']
@spain_national روبياليس هو اللي خطط لكل شي للاسف .. إدارة سيئة,"['Sadness', 'Disgust']"
شكلي بسويلكم دروس عن العرب والعرب العاربه والمستعربه عشان تفهمون السالفه ومن وين بدت,['No emotions']
@FdFdHME احقرها و لا تعطيها وجه و ما عليك منها أنت مو مسؤول عنها,['Disgust']
@istaruu @Eyaaaad حسبنا ألله عليك وعلى أمثالك من اللي يعممون واسمنا رجاجيل مهو رياييل ارجعي للتمهيدي يصححون اللغو عندك قبل تعممين على الرجال اللي أبوك وخوك وولدك منهم الا آذا أنك بنت البحر ماندري يجوز .,"['Anger', 'Disgust']"
@abunwaf31 انت كذا كذاب ومتعصب حتى درجه التخلف يااااااااااااااامتخلف,['Disgust']
@ahmedabdumaher قد حاول هدم السنة من أكبر شأن منك يا جا هل ولم يستطيعوا فهون على نفسك,['Disgust']
RT @hnshy_hsyn: رفض رسمي من المجلس الانتقالي لتصريحات رشاد العليمي تصريحات رشاد واشربوا ميتها https://t.co/OJom5AJot6,"['Disgust', 'Trust']"
الفقراء لانه شعوور زق ومو ضامنين انه يقدرون يرجعون المبلغ وكلشي يعور https://t.co/PHpTuUyLAs,['Disgust']
RT @Dio_Bokep: فيلم الزوج والزوجة - الوردي مهبل الزوجة - الجزء الأول- #sَُex #sَُexy #سَُــكَُـسَُ #سكُُس_عرُُُبي,['No emotions']
@AmaalFahmi هو انا متعودتش اغلط في حد بس الاغبياء الحقيقيين اللي بيسقفوا للغلط و بيدافعوا عن كلام قذر زي ده، مفيش مسئول محترم المفروض يطلع يقول على كفاءات بلده تصدير غير مباشر علشان يوفروا عملة صعبة، البشر مش سلعة، ثانيا انك متوفرش فرص ليهم و تستفاد منهم في بلدهم ده دليل على الفشل,['Disgust']
راجع الحين لدوام وتستقبلني الطيرْ اللي كم تمنيت اعضها 🔥 #مٌعصيٌتٓيّ_رحّتِيّ,['Joy']
@mnooo__1975 أحس لو شدوا على رقبتك شوي بيطيح القرموط ذا ويتقلب في الأرض زي ذنب الوزغة وأنتي تسوين ميتة 😂🤷‍♂️.,['Disgust']
@iManZ0R0 @_8Kros كيف انت افضل وانا فايز عليك 4.0 تسوق امها انت,['Disgust']
لا معلش ...الا انا... انا بهجمة علي طول ... هو والعائلة... لان كل شايفينة دة بسبب المدعو جمال مبارك الثورة اساسا علي موضوع التوريث ... https://t.co/Zf6kxJBmfy,['Disgust']
@shafiee_ola ذاكرتك ضعيفة جدااا ، اول مستشفي ميداني فسوريا كان للقوات الملكية المغربية ، الملك محمد السادس زار مخيمات اللاجئين فسوريا ...,['Disgust']
@n_sa899 @sslllsss8 جزمة بيتروس لاحقوها في كل مكان حتى الجزم في شقته فحصوها ما تبيهم يتابعون تاليسكا,['Disgust']
@loora1433 لاوالله ماصدق أعوذ بالله منه هالثعبان,"['Anger', 'Disgust']"
@AbdullahBinMu19 ومن أين لك علم المنافقين يا فلس؟,['Disgust']
@3atshy @lazalizos الناس بقت بتتناقش في أ ب تفكير منطقي فضلا عن أ ب دين اصلا. الناس دماغها بقت عبارة عن مؤخرات قرود,['Disgust']
RT @AbuNayefSs: رغم كل المرمطه الي انا فيها يعلم الله اني باقي رايق🫤,"['Sadness', 'Optimisim']"
في انتظار صورة مرتضى منصور بالكلابشات,['Anticipation']
انت الاي ضعيف وهزيل فكريا https://t.co/tSDP9YQtHZ,['Disgust']
@AlyHussinMahdy ما احنا عارفين انك 2 طيز https://t.co/lxfSjHhEbg,['Disgust']
الجوف عبد الله ال خماش عبد الله ال خماش عبد الله ال خماش عبد الله ال خماش .. عبد الله ال خماش عبد الله ال خماش عبد الله ال خماش #زد_رصيدك33,['No emotions']
@sosn1244 ماعندك رد بعد ما فهمتك وحشرتك يالغبيه,['Disgust']
جحا وزن قط على مورصو لحم و هبط من حمار باش يربحه و قاعدين تضحكوا عليه !!,['No emotions']
@najeebghallab صبرك على الحوثي .ولخمس لازم يكون بالريال السعودي..على مداء خمسين سنه إلى قدام..,['No emotions']
بعرف ناس كتااااااار من فصيلة الحيوان دا https://t.co/w0LSnG8e1w,['Disgust']
@All_sports0 خليه يتخلص من المستهترين الي ما يحترموا الكيان. مع اني أشوفها. إشاعه,['Disgust']
@tarikh1422 @FdFdHME ماستحيت على وجهك وانت تكتب هالكلام!,['Disgust']
"مصارعين عظماء مثل: Curt Hennig, Rick Rude, John Nord, Nikita Koloff. في عام 1943 ، تم ضم فيرن للعب كرة القدم في جامعة مينيسوتا ، حيث تم تعيينه في فريق All-Big Ten Team. بعد عام واحد في الكلية ، مثل العديد من الأولاد الآخرين في سنه ، جند جاني من خلال الانضمام إلى البحرية خلال… https://t.co/Onbr2AF93l",['No emotions']
@MImarciil1 ماقذفت قلت الحقيقة .. الي تريد الفاحشة تزيد بين الناس وتنهى عن الحق وتأمر بالمنكر وتتبرج أمام خلق الله وتستعرض بجسمها هي عـ.ـاهره وأكثر,['Disgust']
اي حاجة للزمالك لازم تتحارب عشان الننوس الجهلي والقرار قبل ماتش الترجي بساعات تعمد لخراب #نادي_الزمالك #مرتضي_منصور,['Disgust']
@h10rj @Twfik140 مالومك قلة ادب مسوين قويات ماعاد فيه حياء وع وع,['Disgust']
RT @NEDAAPOST: إلهام أحمد: تعويم الأسد لا ينتج حلاً سياسياً في #سورية.. ونظامه لم يتغير قيد أنملة https://t.co/fUt2wIuHXD,['No emotions']
@saudiFF @SPL الله يكون في عون @DAMAC_CLUB سيواجه خصماً مدعوماً من التحكيم ومن من ..؟؟ من الحكم المجرم الطريس هذا الحكم الذي لايخسر معه الفقر وحسبنا الله ونعم الوكيل لذلك على لاعبي #ضمك وإيقاف اللعب ومناقشة الطريس أول بأول لكشف جريمته أمام الملأ #النصر_ضمك #ضمك_النصر #اكشن_مع_وليد,"['Love', 'Disgust']"
@Aldowayesh وانت وش حارق رزك خلك بي تالسكا و الحفلات,['Disgust']
@Hind11068 @3foji @Rakan90944 @talalalenazi_9 ماهيمتونا كل اعماركم تحتفلون ماطقينا لكم خبر انتم اللي مركزين معنا 😂,['Disgust']
طلعت تطقطق علي و انا لقمتها نفسية زق طول الايام الاخيره قاعدة على اعصابي استناها ارد,"['Disgust', 'Anticipation']"
زنقة الكىلاب اب اب اب والله مىت,['No emotions']
@lalbyshy467 @A0500A50 يالله انك تخزيه راعي سالفه ما زقها ، بس ما شره عليك اتحادي سالفتك بريال,['Disgust']
RT @AhlyscGoals: يعز من يشاء ويذل من يشاء ❤️🙏 مرتضي ف القفص #رجع_المستشار_يا_خطيب https://t.co/d01xzzzmOb,['Joy']
@Alphons11628697 @karemkokyyahoo1 @M__albugaly اتسلى معاكم لما امصخركم واديك طيز الفرخه 😂😂😂😂😂😂 https://t.co/7T8FRXN64t,['Disgust']
@qbtkm4 لو نفسك فيه مكان صباعك انا موجود,['No emotions']
@HussieenAdel @MoaElshamy والله مامضيع الزمالك الا المطبلاتيه والمصلحنجيه.. وعديمي الخبره والإداره والشرف,['Disgust']
بالله شفتوها زي ماشفتها😂🥹شفتها عجوز. 😅😅😅🤔 https://t.co/W28RRozvkr,['No emotions']
توقعاتك لموسم مانشستر يونايتد اعظم نادي ف التاريخ بعد الاتحاد ؟ — اكثر نادي اكرهه مدريد الحقيره + مانشستر يونايتد انديه التحكيم 🤷🏻‍♂️ https://t.co/I26mzDnDvX,['No emotions']
"""قمة عار وخيانة برعاية أمريكية"".. اجتماع أمني طارئ في العقبة ""لإنقاذ إسرائيل"" بمشاركة السلطة! https://t.co/qujMzzqkWJ",['No emotions']
@re_fr78 @sasusaku_3 @4meSakura انت بالله من وين تقرأ قلت ان عنود تطقطق عليك يوم قلت للبنت انها تقذف وقصدت عنود انها انت تقصد كلمه عاهه عاهره,['Disgust']
@malak31bel @Etsh5x حلم كل جزائرية ان ترد عليها سعودية لذلك الجزائرين يخضعون للسعودين ضدا فالمغرب لو كانت الجزائر فيها رجال لحروو جماجم اجدادهم من فرنسا,['Disgust']
هرمون الدياثه مرتفع عندي #ديوت_بدوي,['No emotions']
@Geddo ان شاء الله الأهلي يعبر عنق الزجاجة والفراعنة الصغار يروضون أسود التيرانجا,['Optimisim']
#الشريف_مرتضي_منصوووور حكمة اليوم : متحنش لحد باعك يا وسخ.. iHK,['Disgust']
#انمي | #anime |#DemonSlayer عندما لم نستطع أن نمسك دموعنا🥹♥️ هاشيرا اللهب رينغوكو ♥️♥️♥️ #قاتل_الشياطين https://t.co/x8NqSIMepE,['Joy']
@4mjr44 @ScreenMix تبقى انت في تبوك و هي تلبسك الدبلة من نجران https://t.co/lHVYuwHfK2,['No emotions']
RT @redasalaha: ده لو الخطيب فكر بس انه يتنازل الاهلويه هيمسحو بيه البلاط #نعم_لسجن_مرتضي https://t.co/pLKgyhneB6,['Anticipation']
@alsaaa24 كلب و عميل. و خائن.,['Disgust']
منسقه مساج وسهرات ليليه جاده الان للجادين❤💋🇸🇦#سالب_الرياض_مبادل_الرياض_شرق_الرياض #سالب_الخميس #سالب_خميس_مشيط_ابها #سالب_الحفر #سالب_الرياض_جاد 🌸🌸🌸🌸🌸,['No emotions']
@f11az تجزء التاريخ على كيفك انت جب المواجهات كاملة تلقاني معطيك على قفاك بكل بموسم,"['Disgust', 'Trust']"
RT @Woodrow84074652: التعرف علي امراة محجبة بطريقة غريبة #seَُxy #sَُex,['No emotions']
RT @Nsr4431067OO0: #عضاريط_الحاكم_الجعفري وشهد شاهد من أهلها انتو مو مال حكم... انتو مال لطم... ‼ https://t.co/bCxfNUlpmx,['Disgust']
@Haifa1x1 إية أخبار الحوثي اللي رباكم,['Disgust']
RT @barkanShabwa: السفير ال #جابر وراء تصريحات راشد العليمي الاخيرة واليوم اعلامه نشر اخبار ملفقة عن ان قوات العاصفة اغلاقت المعشيق,['No emotions']
@FdFdHME جميع الردود يقولون علمها انك تبي تتزوج عشان تطلب الطلاق ويخرب بيتكم! من متى كان التعدد سبب لطلب الطلاق لو كان سبب لخراب البيوت وتفكك الاسر ماكان اجازه رب العالمين ولا سووه الي من قبلنا لكن انت من يحدد قوة الموقف هل عندك اسبابك هنا ماحد يفتح فمه واذا لا ولله ترا جبر الخواطر زين,['No emotions']
لا وَأَبيكَ اِبنَةَ العامِرِيِّ قظرفز,['No emotions']
عقوبه الحبس شهر لمرتضي منصور مش كفايه.. السباب الأعظم الخائض ف الأعراض لعنه الله عليه ربنا ينتقم منه,['Disgust']
الموت للصهاينة و من والاهم,['Disgust']
@wageh_zayed واضح ان كولر مش عارف يقراء فرق افريقيا كويس,['No emotions']
@or4k_ انت تنتقد خالد ال مشعط فما اشرهه عليك,['No emotions']
RT @wwggh7: مكافحة بق الفراش مكافحة الثعابين بالرياض بالخرج بالمزاحميه https://t.co/AN4TUMOVay,['No emotions']
@aly_babah حسبي الله ونعم الوكيل ف اللي بيقول سمبوسك,['Disgust']
@hilalstuff انت ماتصلح مدرب للاسف الدحيل يحتاج الروح بكرا عشان ينتصر,['Disgust']
في احداث شبوة الكل صف مع الانتقالي بحجة طرد حزب الاصلاح من شبوة وحنا نقلهم مايصلح يادنق مايصير يافتالين وهم ولا مصدقين الكلام ! شبوة وقبايلها مرتكز اساسي تحافظ على الوحدة ماصدقو ، الحين كل يوم وطلع لهم الخبجي يهددهم بقلب الطاولة في عدن حفظك الله يا محمد صالح بن عديو,"['Love', 'Disgust', 'Trust']"
RT @shimaam92120052: اظهر وبان .....على الفضايح ولسه مستمتعه حرفيا https://t.co/7w0eO03684,['Joy']
